ID,NI,CI,HI,WI,NO,DO,HO,WO,HK,WK,HPTOP,HPBOTTOM,WPLEFT,WPRIGHT,HS,WS,HD,WD,GROUP,BIAS
custom_0,4,192,40,40,4,192,40,40,3,3,1,1,1,1,1,1,1,1,1,192
custom_1,4,768,80,80,4,768,40,40,3,3,1,1,1,1,2,2,1,1,1,768
custom_2,4,96,80,80,4,96,80,80,3,3,1,1,1,1,1,1,1,1,1,96
custom_3,4,768,40,40,4,768,20,20,3,3,1,1,1,1,2,2,1,1,1,768
custom_4,4,384,160,160,4,384,80,80,3,3,1,1,1,1,2,2,1,1,1,384
custom_5,4,48,160,160,4,48,160,160,3,3,1,1,1,1,1,1,1,1,1,48
custom_6,4,96,320,320,4,192,160,160,3,3,1,1,1,1,2,2,1,1,1,192
custom_7,4,192,20,20,4,192,20,20,3,3,1,1,1,1,1,1,1,1,1,192
custom_8,4,384,80,80,4,384,40,40,3,3,1,1,1,1,2,2,1,1,1,384
custom_9,4,384,80,80,4,96,80,80,3,3,1,1,1,1,1,1,1,1,1,96
custom_10,4,768,40,40,4,96,40,40,3,3,1,1,1,1,1,1,1,1,1,96
